0,Afghanistan,Wage (qualified labour),8.099,2014|2
1,Afghanistan,Wage (qualified labour),11.57,2014|7
2,Afghanistan,Wage (qualified labour),11.57,2014|8
3,Afghanistan,Wage (qualified labour),11.57,2014|9
4,Afghanistan,Wage (qualified labour),11.57,2014|10
5,Afghanistan,Wage (qualified labour),11.57,2014|11
6,Afghanistan,Wage (qualified labour),10.702250000000001,2014|12
7,Afghanistan,Wage (qualified labour),8.099,2015|1
8,Afghanistan,Wage (qualified labour),8.099,2015|2
9,Afghanistan,Wage (qualified labour),9.256,2015|3
10,Afghanistan,Wage (qualified labour),9.256,2015|4
11,Afghanistan,Wage (qualified labour),9.256,2015|5
12,Afghanistan,Wage (qualified labour),9.256,2015|6
13,Afghanistan,Wage (qualified labour),9.256,2015|7
14,Afghanistan,Wage (qualified labour),9.256,2015|8
15,Afghanistan,Wage (qualified labour),8.099,2015|9
16,Afghanistan,Wage (qualified labour),6.942,2015|10
17,Afghanistan,Wage (qualified labour),6.942,2015|11
18,Afghanistan,Wage (qualified labour),6.942,2015|12
19,Afghanistan,Wage (qualified labour),6.942,2016|1
20,Afghanistan,Wage (qualified labour),6.942,2016|2
21,Afghanistan,Wage (qualified labour),6.942,2016|3
22,Afghanistan,Wage (qualified labour),8.099,2016|4
23,Afghanistan,Wage (qualified labour),8.6775,2016|5
24,Afghanistan,Wage (qualified labour),8.099,2016|6
25,Afghanistan,Wage (qualified labour),8.099,2016|7
26,Afghanistan,Wage (qualified labour),8.099,2016|8
27,Afghanistan,Wage (qualified labour),8.099,2016|9
28,Afghanistan,Wage (qualified labour),7.5205,2016|10
29,Afghanistan,Wage (qualified labour),6.65275,2016|11
30,Afghanistan,Wage (qualified labour),5.785,2016|12
31,Afghanistan,Wage (qualified labour),6.942,2017|1
32,Afghanistan,Wage (qualified labour),6.942,2017|2
33,Afghanistan,Wage (qualified labour),8.6775,2017|3
34,Afghanistan,Wage (qualified labour),9.8345,2017|4
35,Afghanistan,Wage (qualified labour),11.280750000000001,2017|5
36,Afghanistan,Wage (qualified labour),11.57,2017|6
37,Afghanistan,Wage (non-qualified labour non-agricultural),1735.5,2000|1
38,Afghanistan,Wage (non-qualified labour non-agricultural),1735.5,2000|2
39,Afghanistan,Wage (non-qualified labour non-agricultural),1345.0125,2000|3
40,Afghanistan,Wage (non-qualified labour non-agricultural),1735.5,2000|4
41,Afghanistan,Wage (non-qualified labour non-agricultural),1735.5,2000|5
42,Afghanistan,Wage (non-qualified labour non-agricultural),1735.5,2000|6
43,Afghanistan,Wage (non-qualified labour non-agricultural),1735.5,2000|7
44,Afghanistan,Wage (non-qualified labour non-agricultural),1735.5,2000|8
45,Afghanistan,Wage (non-qualified labour non-agricultural),1735.5,2000|9
46,Afghanistan,Wage (non-qualified labour non-agricultural),1735.5,2000|10
47,Afghanistan,Wage (non-qualified labour non-agricultural),1735.5,2000|11
48,Afghanistan,Wage (non-qualified labour non-agricultural),1735.5,2000|12
49,Afghanistan,Wage (non-qualified labour non-agricultural),1735.5,2001|1
50,Afghanistan,Wage (non-qualified labour non-agricultural),1735.5,2001|2
51,Afghanistan,Wage (non-qualified labour non-agricultural),1735.5,2001|3
52,Afghanistan,Wage (non-qualified labour non-agricultural),1735.5,2001|4
53,Afghanistan,Wage (non-qualified labour non-agricultural),1735.5,2001|5
54,Afghanistan,Wage (non-qualified labour non-agricultural),1735.5,2001|6
55,Afghanistan,Wage (non-qualified labour non-agricultural),1735.5,2001|7
56,Afghanistan,Wage (non-qualified labour non-agricultural),1735.5,2001|8
57,Afghanistan,Wage (non-qualified labour non-agricultural),1735.5,2001|9
58,Afghanistan,Wage (non-qualified labour non-agricultural),1735.5,2001|10
59,Afghanistan,Wage (non-qualified labour non-agricultural),1301.625,2001|11
60,Afghanistan,Wage (non-qualified labour non-agricultural),1099.15,2001|12
61,Afghanistan,Wage (non-qualified labour non-agricultural),1157.0,2002|1
62,Afghanistan,Wage (non-qualified labour non-agricultural),1157.0,2002|2
63,Afghanistan,Wage (non-qualified labour non-agricultural),1157.0,2002|3
64,Afghanistan,Wage (non-qualified labour non-agricultural),1157.0,2002|4
65,Afghanistan,Wage (non-qualified labour non-agricultural),1157.0,2002|5
66,Afghanistan,Wage (non-qualified labour non-agricultural),1446.25,2002|6
67,Afghanistan,Wage (non-qualified labour non-agricultural),1735.5,2002|7
68,Afghanistan,Wage (non-qualified labour non-agricultural),1735.5,2002|8
69,Afghanistan,Wage (non-qualified labour non-agricultural),1735.5,2002|9
70,Afghanistan,Wage (non-qualified labour non-agricultural),2140.4500000000003,2002|10
